num_agents,scenario,algorithm,soc,sod,solved
1000,18,BALANCE-UCB1,194615,13633,0
1000,18,BALANCE-Thompson,194557,13575,0
1000,19,DyMAB-aUCB,179474,2025,1
1000,19,DyMAB-eGreedy,185443,7994,1
1000,19,MAPF-LNS2,179850,2401,1
1000,19,MAPF-LNS,0,0,0
1000,19,BALANCE-UCB1,188716,11267,0
1000,19,BALANCE-Thompson,190330,12881,0
1000,1,DyMAB-aUCB,182423,3859,1
1000,1,DyMAB-eGreedy,190523,11959,1
1000,1,MAPF-LNS2,181942,3378,1
1000,1,MAPF-LNS,0,0,0
1000,1,BALANCE-UCB1,192878,14314,0
1000,1,BALANCE-Thompson,191832,13268,0
1000,20,DyMAB-aUCB,188179,3150,1
1000,20,DyMAB-eGreedy,195128,10099,1
1000,20,MAPF-LNS2,188125,3096,1
1000,20,MAPF-LNS,0,0,0
1000,20,BALANCE-UCB1,202362,17333,0
1000,20,BALANCE-Thompson,200545,15516,0
1000,21,DyMAB-aUCB,186893,2421,1
1000,21,DyMAB-eGreedy,192642,8170,1
1000,21,MAPF-LNS2,186909,2437,1
1000,21,MAPF-LNS,0,0,0
1000,21,BALANCE-UCB1,198603,14131,0
1000,21,BALANCE-Thompson,200430,15958,0
1000,22,DyMAB-aUCB,182853,3112,1
1000,22,DyMAB-eGreedy,189362,9621,1
1000,22,MAPF-LNS2,182521,2780,1
1000,22,MAPF-LNS,0,0,0
1000,22,BALANCE-UCB1,195614,15873,0
1000,22,BALANCE-Thompson,195301,15560,0
1000,23,DyMAB-aUCB,183101,2835,1
1000,23,DyMAB-eGreedy,188993,8727,1
1000,23,MAPF-LNS2,182543,2277,1
1000,23,MAPF-LNS,0,0,0
1000,23,BALANCE-UCB1,198218,17952,1
1000,23,BALANCE-Thompson,195450,15184,0
1000,24,DyMAB-aUCB,181116,2487,1
1000,24,DyMAB-eGreedy,186493,7864,1
1000,24,MAPF-LNS2,180537,1908,1
1000,24,MAPF-LNS,0,0,0
1000,24,BALANCE-UCB1,191995,13366,0
1000,24,BALANCE-Thompson,190102,11473,0
1000,25,DyMAB-aUCB,184091,2569,1
1000,25,DyMAB-eGreedy,192206,10684,1
1000,25,MAPF-LNS2,183830,2308,1
1000,25,MAPF-LNS,0,0,0
1000,25,BALANCE-UCB1,195548,14026,0
1000,25,BALANCE-Thompson,194822,13300,0
1000,2,DyMAB-aUCB,181026,2651,1
1000,2,DyMAB-eGreedy,188530,10155,1
1000,2,MAPF-LNS2,181303,2928,1
1000,2,MAPF-LNS,0,0,0
1000,2,BALANCE-UCB1,192554,14179,0
1000,2,BALANCE-Thompson,194593,16218,0
1000,3,DyMAB-aUCB,183925,2614,1
1000,3,DyMAB-eGreedy,191173,9862,1
1000,3,MAPF-LNS2,184442,3131,1
1000,3,MAPF-LNS,0,0,0
1000,3,BALANCE-UCB1,195022,13711,0
1000,3,BALANCE-Thompson,195617,14306,0
1000,4,DyMAB-aUCB,184042,2239,1
1000,4,DyMAB-eGreedy,189696,7893,1
1000,4,MAPF-LNS2,184099,2296,1
1000,4,MAPF-LNS,0,0,0
1000,4,BALANCE-UCB1,195490,13687,0
1000,4,BALANCE-Thompson,198348,16545,0
1000,5,DyMAB-aUCB,185630,2866,1
1000,5,DyMAB-eGreedy,191798,9034,1
1000,5,MAPF-LNS2,185225,2461,1
1000,5,MAPF-LNS,0,0,0
1000,5,BALANCE-UCB1,197083,14319,0
1000,5,BALANCE-Thompson,196874,14110,1
1000,6,DyMAB-aUCB,185375,3947,1
1000,6,DyMAB-eGreedy,190564,9136,1
1000,6,MAPF-LNS2,184865,3437,1
1000,6,MAPF-LNS,0,0,0
1000,6,BALANCE-UCB1,196714,15286,0
1000,6,BALANCE-Thompson,194952,13524,0
1000,7,DyMAB-aUCB,178313,1807,1
1000,7,DyMAB-eGreedy,187676,11170,1
1000,7,MAPF-LNS2,178573,2067,1
1000,7,MAPF-LNS,0,0,0
1000,7,BALANCE-UCB1,195804,19298,1
1000,7,BALANCE-Thompson,190516,14010,0
1000,8,DyMAB-aUCB,184580,2473,1
1000,8,DyMAB-eGreedy,190128,8021,1
1000,8,MAPF-LNS2,184758,2651,1
1000,8,MAPF-LNS,0,0,0
1000,8,BALANCE-UCB1,196093,13986,0
1000,8,BALANCE-Thompson,194036,11929,0
1000,9,DyMAB-aUCB,0,0,0
1000,9,DyMAB-eGreedy,0,0,0
1000,9,MAPF-LNS2,180584,2057,1
1000,9,MAPF-LNS,0,0,0
1000,9,BALANCE-UCB1,192029,13502,0
1000,9,BALANCE-Thompson,190584,12057,0
