num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
7,35526,"",7.82823,35485,35485,PP
3,35526,"",7.83688,35485,35485,PP
8,35526,"",7.87732,35485,35485,PP
2,35526,"",7.88488,35485,35485,PP
4,35526,"",7.9019,35485,35485,PP
3,35526,"",7.92779,35485,35485,PP
5,35526,"",7.94147,35485,35485,PP
3,35526,"",7.94953,35485,35485,PP
4,35526,"",7.95736,35485,35485,PP
5,35526,"",7.96605,35485,35485,PP
7,35526,"",7.98025,35485,35485,PP
8,35526,"",8.00431,35485,35485,PP
8,35526,"",8.02853,35485,35485,PP
6,35526,"",8.04711,35485,35485,PP
3,35526,"",8.05807,35485,35485,PP
4,35526,"",8.06996,35485,35485,PP
5,35526,"",8.08278,35485,35485,PP
5,35526,"",8.09075,35485,35485,PP
5,35526,"",8.10288,35485,35485,PP
5,35526,"",8.11905,35485,35485,PP
4,35526,"",8.13522,35485,35485,PP
3,35526,"",8.15434,35485,35485,PP
3,35526,"",8.16785,35485,35485,PP
5,35526,"",8.18459,35485,35485,PP
4,35526,"",8.1929,35485,35485,PP
4,35526,"",8.2066,35485,35485,PP
3,35526,"",8.22155,35485,35485,PP
4,35526,"",8.22841,35485,35485,PP
5,35526,"",8.25512,35485,35485,PP
5,35526,"",8.27094,35485,35485,PP
3,35526,"",8.28128,35485,35485,PP
6,35526,"",8.28933,35485,35485,PP
5,35526,"",8.30323,35485,35485,PP
8,35526,"",8.32226,35485,35485,PP
5,35526,"",8.33648,35485,35485,PP
3,35526,"",8.34401,35485,35485,PP
7,35526,"",8.3576,35485,35485,PP
